"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"107","RETAIL STORE (FOOD)","NATURE'S HEALTH FOOD","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,25,1,28,0.932366364593518
"108","RETAIL STORE (FOOD)","DANFORTH MARKET","TORONTO, ON","M4C 1L7","DANFORTH AVE","2742 DANFORTH AVE,TORONTO, ON,M4C 1L7",43.68924127,-79.29758823,25,1,21,1.13855424891682
"109","RETAIL STORE (FOOD)","JAMES FRUIT MART","TORONTO, ON","M4C 1L1","DANFORTH AVE","2541 DANFORTH AVE,TORONTO, ON,M4C 1L1",43.6879419,-79.30211827,25,1,18,0.0412110897338794
"110","RETAIL STORE (FOOD)","KULLUBI INJERA","TORONTO, ON","M4C 1J4","DANFORTH AVE","1936 DANFORTH AVE,TORONTO, ON,M4C 1J4",43.68514052,-79.3159202,25,1,16,0.00160771189257503
"111","RETAIL STORE (FOOD)","BULK BARN","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,25,1,26,2.54805842960689
"112","RETAIL STORE (FOOD)","SUPER J.C. VARIETY","TORONTO, ON","M4C 2C3","SECORD AVE","2 SECORD AVE,TORONTO, ON,M4C 2C3",43.6927375,-79.302219,25,1,23,0.282751191464855
"113","RETAIL STORE (FOOD)","METRO #37","TORONTO, ON","M4C 1M9","DANFORTH AVE","3003 DANFORTH AVE,TORONTO, ON,M4C 1M9",43.689662,-79.28900608,25,1,24,0.928879074608682
"114","RETAIL STORE (FOOD)","CARTER'S ICE CREAM","TORONTO, ON","M4C 3X4","WOODMOUNT AVE","3 WOODMOUNT AVE,TORONTO, ON,M4C 3X4",43.6854255,-79.3152068,25,1,20,0.0321331900762005
"115","RETAIL STORE (FOOD)","PLANK ROAD MARKET","TORONTO, ON","M4C 1H8","DANFORTH AVE","1716 DANFORTH AVE,TORONTO, ON,M4C 1H8",43.6843108,-79.3199899,25,1,28,2.80019867324353
"116","RETAIL STORE (FOOD)","GATEWAY NEWSTANDS","TORONTO, ON","M4C 1L2","DANFORTH AVE","2550 DANFORTH AVE,TORONTO, ON,M4C 1L2",43.688216,-79.3021142,25,1,26,2.51344454089615
